"date","adjcloseMTUM","adjcloseQUAL","adjcloseVLUE","adjcloseSIZE","adjcloseUSMV","adjcloseSPY"
2013-07-22,51.0964,45.7185,48.9231,48.6139,30.4108,152.8319
2013-07-29,51.2663,45.7642,48.7891,48.3888,30.3167,152.0114
2013-08-05,51.6419,46.386,49.3964,49.046,30.4512,153.9139
2013-08-09,51.1931,46.0642,48.9856,48.7759,30.3167,152.6606
2013-08-15,49.7997,45.2248,48.2354,47.6776,29.6805,150.0187
2013-08-19,49.4823,45.0419,47.8514,47.2905,29.3579,148.5671
2013-08-26,49.8109,45.6179,48.3247,47.8217,29.546,149.6761
2013-09-06,49.7546,45.7368,48.1372,47.5516,29.3758,149.7122
2013-09-10,50.4588,46.258,48.7712,48.0557,29.797,152.2639
2013-09-19,52.0269,47.6113,49.8608,49.4601,30.6483,155.7713
2013-09-30,50.7793,46.5864,48.6033,48.3975,30.0219,152.2267
2013-10-02,51.2411,46.8873,48.6752,48.5151,30.1195,153.2868
2013-10-03,50.7511,46.5497,48.5046,48.231,29.8756,151.8734
2013-10-08,50.129,45.6873,48.1187,48.2889,29.6136,149.9344
2013-10-09,49.9405,45.724,47.9302,47.8908,29.6317,150.0431
2013-10-11,51.4438,46.7882,49.2047,48.9856,30.3273,154.2654
2013-10-16,52.2492,47.4671,49.8689,49.3701,30.6751,155.9053
2013-10-21,52.9658,48.2011,50.5312,50.0623,31.05,158.0165
2013-10-28,53.7575,48.8157,50.8921,50.5961,31.5198,159.6745
2013-10-29,54.0807,49.1276,51.0896,50.7591,31.7095,160.5262
2013-11-01,53.748,48.8925,50.7126,50.6142,31.5288,159.6564
2013-11-04,53.6193,49.1093,51.0537,50.768,31.6101,160.2182
2013-11-11,53.3993,49.302,51.3858,50.6649,31.5379,160.6621
2013-11-21,54.5114,50.3386,52.05,51.0757,31.8811,163.0088
2013-11-25,55.1146,50.4579,52.3641,51.2557,31.9715,163.6612
2013-12-03,54.747,50.5038,51.9423,50.8314,31.6553,162.8639
2013-12-06,55.1052,50.7056,52.3731,51.1842,31.8269,163.9421
2013-12-09,55.1994,50.8616,52.6325,51.4014,31.7908,164.3589
2013-12-12,54.4549,50.0322,51.7448,50.4312,31.1855,161.3961
2013-12-13,54.747,49.9166,51.682,50.5509,31.2036,161.3779
2013-12-16,54.945,50.2469,52.041,50.7958,31.303,162.38
2013-12-18,55.7083,50.7668,52.4629,50.6685,31.7276,164.6307
2013-12-23,56.5002,51.4727,53.1318,51.7977,31.8957,166.2808
2013-12-26,56.8722,51.9053,53.5396,52.0261,32.0901,167.4878
2013-12-27,56.6043,51.8224,53.5739,52.2436,32.1047,167.4787
2013-12-31,56.7746,52.0249,53.7219,52.3437,32.2592,168.2485
2014-01-03,56.2828,51.5371,53.3574,52.0615,31.932,166.6042
2014-01-07,56.6232,51.7488,53.6461,52.0707,32.0411,167.1462
2014-01-09,57.1434,51.7027,53.5288,51.9615,32.0774,167.292
2014-01-13,56.2525,51.0953,53.3303,52.3346,31.9048,165.511
2014-01-14,57.115,51.6844,53.5017,52.0889,32.0956,167.3193
2014-01-16,57.1529,51.9697,53.5828,52.2982,32.1774,168.0025
2014-01-17,56.8502,51.8316,53.4656,52.2436,32.1284,167.2874
2014-01-22,57.5596,51.9053,53.619,52.5166,32.1388,167.8932
2014-01-24,55.4882,50.4509,51.995,51.2243,31.405,162.9648
2014-01-27,54.9233,52.7426,51.7334,51.0787,31.2687,162.1632
2014-01-30,55.9517,50.0735,51.9228,51.3245,31.4413,163.2746
2014-02-04,54.552,49.0518,50.9051,50.3271,30.7961,159.7719
2014-02-07,56.1882,50.2853,51.562,51.197,31.4141,163.6845
2014-02-10,56.266,50.3957,51.9878,51.4546,31.4958,163.9851
2014-02-13,57.6447,51.3806,52.9748,52.4437,32.0411,166.7181
2014-02-19,57.8622,51.4081,53.2491,53.0808,32.1865,166.7272
2014-02-21,58.3067,51.6844,53.3141,53.1859,32.3591,167.5197
2014-03-03,58.6798,51.7879,53.4747,53.3698,32.4227,168.5127
2014-03-04,59.8672,52.6601,54.2867,54.0272,32.868,170.8812
2014-03-05,59.9618,52.5209,54.2596,53.8998,32.7953,171.0361
2014-03-07,59.6781,52.4134,54.5483,53.9635,32.8589,171.5007
2014-03-11,59.2828,52.3747,54.1333,53.7905,32.7953,170.5624
2014-03-18,59.3281,52.5404,54.4581,53.9725,32.9316,170.9541
2014-03-21,58.2216,51.9513,54.5844,54.1123,32.6499,170.3724
2014-03-24,57.4366,51.85,54.2652,53.645,32.5136,169.6678
2014-03-27,56.5137,51.4183,54.1358,53.2544,32.5335,168.8901
2014-03-28,56.5946,51.5476,54.4984,53.7754,32.6157,169.7227
2014-03-31,57.163,52.0371,54.8882,54.141,32.9263,171.1135
2014-04-07,55.7325,51.2322,54.3439,53.7662,32.5427,168.6705
2014-04-09,57.0967,51.9726,54.8719,53.7114,32.9171,171.1867
2014-04-10,55.346,51.0107,53.9545,53.514,32.4422,167.5862
2014-04-11,54.6254,50.3836,53.4782,53.0076,32.2047,166.081
2014-04-15,55.4199,51.1925,54.1539,52.962,32.634,168.5424
2014-04-16,56.2061,51.786,54.6163,53.748,32.9537,170.3037
2014-04-17,56.4335,51.8894,54.8791,54.0405,32.9719,170.5462
